Package,Brand,License
,,
" Operating System","Windows 7","Microsoft Campus Agreement"
" Operating System","Windows 2008 server","Microsoft Campus Agreement"
"Application ",Scilab-5.5.2,"Freeware "
Application,"Android studio-1.5.1",Freeware
,,
Application,"Xampp v 3.1.0.1 ",Freeware
Application,"Neo4JCE 3.0.6","Freeware "
Application,"Appache tomcat-8.0","Freeware "
Application,"Eclipse Juno","Freeware "
Application,"VMPlayer ",Freeware
Application,"Microsoft Office 2003","Microsoft Campus Agreement "
Application,"Microsoft visual studio-2010","Microsoft Campus Agreement "
"Application	","Netbeans 8.0.2",Freeware
"Database		","SQL SERVER-2008 ","Microsoft Campus Agreement "
Database,"Oracle 11g","Student Edition"
"Complier /Interpreter	","Dev- c++(4.9.9.2)",Freeware
"Complier /Interpreter","Java -1.8",Freeware
"Tools and Design","Winrar 4.20",Freeware
"Tools and Design","Ccleaner 4.08.4428",Freeware
Antivirus,"K7 Antivirus",Unlimited
