Date,From,To,"Lab Number","Workshop Details","Faculty Name"
,,,,,
2017-12-24,06:00,13:00,AB1-205,"poilkjnmbmnb nds s12 e3",qwerty
2017-12-25,06:00,13:00,AB1-205,"poilkjnmbmnb nds s12 e3",qwerty
2017-12-26,06:00,13:00,AB1-205,"poilkjnmbmnb nds s12 e3",qwerty
2017-12-27,06:00,13:00,AB1-205,"poilkjnmbmnb nds s12 e3",qwerty
2017-12-28,06:00,13:00,AB1-205,"poilkjnmbmnb nds s12 e3",qwerty
2017-12-29,06:00,13:00,AB1-205,"poilkjnmbmnb nds s12 e3",qwerty
2017-12-30,06:00,13:00,AB1-205,"poilkjnmbmnb nds s12 e3",qwerty
2017-12-31,06:00,13:00,AB1-205,"poilkjnmbmnb nds s12 e3",qwerty
2018-01-01,06:00,13:00,AB1-205,"poilkjnmbmnb nds s12 e3",qwerty
2018-01-02,06:00,13:00,AB1-205,"poilkjnmbmnb nds s12 e3",qwerty
2018-01-03,06:00,13:00,AB1-205,"poilkjnmbmnb nds s12 e3",qwerty
